"","r","scale","domain","alpha","depth","model"
"91",0.86827429110619,"bad_terrible","album",1.8,0,"2"
"92",0.510269750224415,"bad_terrible","album",1.8,1,"2"
"93",0.255114876093304,"bad_terrible","album",1.8,2,"2"
"94",0.153907141388096,"bad_terrible","album",1.8,3,"2"
"95",0.1223544195746,"bad_terrible","album",1.8,4,"2"
"96",0.86827429110619,"bad_terrible","album",1.9,0,"2"
"97",0.514997106243435,"bad_terrible","album",1.9,1,"2"
"98",0.25244825623163,"bad_terrible","album",1.9,2,"2"
"99",0.149485648483299,"bad_terrible","album",1.9,3,"2"
"100",0.120703309243164,"bad_terrible","album",1.9,4,"2"
"101",0.86827429110619,"bad_terrible","album",2,0,"2"
"102",0.519546649829362,"bad_terrible","album",2,1,"2"
"103",0.250620887749679,"bad_terrible","album",2,2,"2"
"104",0.145886602053077,"bad_terrible","album",2,3,"2"
"105",0.119657605606619,"bad_terrible","album",2,4,"2"
"106",0.86827429110619,"bad_terrible","album",2.1,0,"2"
"107",0.523919905263281,"bad_terrible","album",2.1,1,"2"
"108",0.249622820616826,"bad_terrible","album",2.1,2,"2"
"109",0.142954191809737,"bad_terrible","album",2.1,3,"2"
"110",0.119009202744723,"bad_terrible","album",2.1,4,"2"
"111",0.86827429110619,"bad_terrible","album",2.2,0,"2"
"112",0.52811886423307,"bad_terrible","album",2.2,1,"2"
"113",0.249442033072201,"bad_terrible","album",2.2,2,"2"
"114",0.140571939621096,"bad_terrible","album",2.2,3,"2"
"115",0.11861400273857,"bad_terrible","album",2.2,4,"2"
"116",0.86827429110619,"bad_terrible","album",2.3,0,"2"
"117",0.532145946316799,"bad_terrible","album",2.3,1,"2"
"118",0.250067568738295,"bad_terrible","album",2.3,2,"2"
"119",0.138654014317517,"bad_terrible","album",2.3,3,"2"
"120",0.118376050678426,"bad_terrible","album",2.3,4,"2"
"121",0.86827429110619,"bad_terrible","album",2.4,0,"2"
"122",0.536003958720943,"bad_terrible","album",2.4,1,"2"
"123",0.251491974573205,"bad_terrible","album",2.4,2,"2"
"124",0.137137573784865,"bad_terrible","album",2.4,3,"2"
"125",0.11823376916197,"bad_terrible","album",2.4,4,"2"
"126",0.86827429110619,"bad_terrible","album",2.5,0,"2"
"127",0.539696055824225,"bad_terrible","album",2.5,1,"2"
"128",0.253713039073624,"bad_terrible","album",2.5,2,"2"
"129",0.135977270137742,"bad_terrible","album",2.5,3,"2"
"130",0.118148845753195,"bad_terrible","album",2.5,4,"2"
"131",0.86827429110619,"bad_terrible","album",2.6,0,"2"
"132",0.543225699026503,"bad_terrible","album",2.6,1,"2"
"133",0.256734871574933,"bad_terrible","album",2.6,2,"2"
"134",0.135141938572009,"bad_terrible","album",2.6,3,"2"
"135",0.118098011178713,"bad_terrible","album",2.6,4,"2"
"136",0.86827429110619,"bad_terrible","album",2.7,0,"2"
"137",0.54659661734604,"bad_terrible","album",2.7,1,"2"
"138",0.260568374168204,"bad_terrible","album",2.7,2,"2"
"139",0.134613082050233,"bad_terrible","album",2.7,3,"2"
"140",0.118067381007734,"bad_terrible","album",2.7,4,"2"
"141",0.86827429110619,"bad_terrible","album",2.8,0,"2"
"142",0.549812769149901,"bad_terrible","album",2.8,1,"2"
"143",0.26523114635136,"bad_terrible","album",2.8,2,"2"
"144",0.134384769725657,"bad_terrible","album",2.8,3,"2"
"145",0.118048770822129,"bad_terrible","album",2.8,4,"2"
"146",0.86827429110619,"bad_terrible","album",2.9,0,"2"
"147",0.552878305342808,"bad_terrible","album",2.9,1,"2"
"148",0.270746837229844,"bad_terrible","album",2.9,2,"2"
"149",0.134464760392455,"bad_terrible","album",2.9,3,"2"
"150",0.11803739493541,"bad_terrible","album",2.9,4,"2"
"151",0.86827429110619,"bad_terrible","album",3,0,"2"
"152",0.55579753428128,"bad_terrible","album",3,1,"2"
"153",0.277143928086772,"bad_terrible","album",3,2,"2"
"154",0.134876917560837,"bad_terrible","album",3,3,"2"
"155",0.118030475246449,"bad_terrible","album",3,4,"2"
"156",0.86827429110619,"bad_terrible","album",3.1,0,"2"
"157",0.558574888623481,"bad_terrible","album",3.1,1,"2"
"158",0.284453896075819,"bad_terrible","album",3.1,2,"2"
"159",0.135665262320979,"bad_terrible","album",3.1,3,"2"
"160",0.11802642406335,"bad_terrible","album",3.1,4,"2"
"161",0.86827429110619,"bad_terrible","album",3.2,0,"2"
"162",0.561214894272078,"bad_terrible","album",3.2,1,"2"
"163",0.292708684579248,"bad_terrible","album",3.2,2,"2"
"164",0.136900337471328,"bad_terrible","album",3.2,3,"2"
"165",0.118024382189248,"bad_terrible","album",3.2,4,"2"
"166",0.86827429110619,"bad_terrible","album",3.3,0,"2"
"167",0.563722141518333,"bad_terrible","album",3.3,1,"2"
"168",0.301937395712915,"bad_terrible","album",3.3,2,"2"
"169",0.1386889944564,"bad_terrible","album",3.3,3,"2"
"170",0.118023983296923,"bad_terrible","album",3.3,4,"2"
"171",0.86827429110619,"bad_terrible","album",3.4,0,"2"
"172",0.566101258451109,"bad_terrible","album",3.4,1,"2"
"173",0.312162136072769,"bad_terrible","album",3.4,2,"2"
"174",0.141189355771042,"bad_terrible","album",3.4,3,"2"
"175",0.118025286434833,"bad_terrible","album",3.4,4,"2"
"176",0.86827429110619,"bad_terrible","album",3.5,0,"2"
"177",0.568356886654955,"bad_terrible","album",3.5,1,"2"
"178",0.323393000973316,"bad_terrible","album",3.5,2,"2"
"179",0.144633664875432,"bad_terrible","album",3.5,3,"2"
"180",0.118028892290039,"bad_terrible","album",3.5,4,"2"
"181",0.86827429110619,"bad_terrible","album",3.6,0,"2"
"182",0.570493659186889,"bad_terrible","album",3.6,1,"2"
"183",0.335622288913491,"bad_terrible","album",3.6,2,"2"
"184",0.14936312031292,"bad_terrible","album",3.6,3,"2"
"185",0.118036385110334,"bad_terrible","album",3.6,4,"2"
"186",0.86827429110619,"bad_terrible","album",3.7,0,"2"
"187",0.572516180792121,"bad_terrible","album",3.7,1,"2"
"188",0.348818207500104,"bad_terrible","album",3.7,2,"2"
"189",0.155880559435239,"bad_terrible","album",3.7,3,"2"
"190",0.118051558504291,"bad_terrible","album",3.7,4,"2"
"191",0.86827429110619,"bad_terrible","album",3.8,0,"2"
"192",0.57442901029438,"bad_terrible","album",3.8,1,"2"
"193",0.362918564621893,"bad_terrible","album",3.8,2,"2"
"194",0.164928329198407,"bad_terrible","album",3.8,3,"2"
"195",0.118083831012612,"bad_terrible","album",3.8,4,"2"
"196",0.86827429110619,"bad_terrible","album",3.9,0,"2"
"197",0.576236645076681,"bad_terrible","album",3.9,1,"2"
"198",0.377825212859346,"bad_terrible","album",3.9,2,"2"
"199",0.177597025749139,"bad_terrible","album",3.9,3,"2"
"200",0.118158386018507,"bad_terrible","album",3.9,4,"2"
"201",0.86827429110619,"bad_terrible","album",4,0,"2"
"202",0.577943507552767,"bad_terrible","album",4,1,"2"
"203",0.393400276490071,"bad_terrible","album",4,2,"2"
"204",0.195456883343171,"bad_terrible","album",4,3,"2"
"205",0.118348735901865,"bad_terrible","album",4,4,"2"
"206",0.86827429110619,"bad_terrible","album",4.1,0,"2"
"207",0.579553933517884,"bad_terrible","album",4.1,1,"2"
"208",0.409465346239617,"bad_terrible","album",4.1,2,"2"
"209",0.220652742633608,"bad_terrible","album",4.1,3,"2"
"210",0.118890408695236,"bad_terrible","album",4.1,4,"2"
"211",0.86827429110619,"bad_terrible","album",4.2,0,"2"
"212",0.581072162259428,"bad_terrible","album",4.2,1,"2"
"213",0.425804757658041,"bad_terrible","album",4.2,2,"2"
"214",0.25576448147309,"bad_terrible","album",4.2,3,"2"
"215",0.120614183822809,"bad_terrible","album",4.2,4,"2"
"216",0.86827429110619,"bad_terrible","album",4.3,0,"2"
"217",0.582502328303019,"bad_terrible","album",4.3,1,"2"
"218",0.44217366693174,"bad_terrible","album",4.3,2,"2"
"219",0.302968254505022,"bad_terrible","album",4.3,3,"2"
"220",0.126761163775021,"bad_terrible","album",4.3,4,"2"
"221",0.86827429110619,"bad_terrible","album",4.4,0,"2"
